Code,Title,Credits,AH,SE,SS,ACGH,DD,OL,QL,SL,VL,WC,WE,Desc
AAS 010,"African-American Culture & Society",4,,,4,4,4,,,,,,4,"Lecture-3 hour(s); Discussion-1 hour(s). Critical examination of the historical, political, social, and economic factors that have affected the development and status of African-American people in contemporary society."
AAS 012,"Introduction to African Studies",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to African Studies which will focus on the various disciplinary perspectives through which African society and culture are generally studied. A survey of methods, resources and conceptual tools for the study of Africa."
AAS 015,"Introduction to African American Humanities",4,4,,,4,4,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Limited to 165 students. Introduction to the humanist tradition developed by writers, philosophers, and artists of African descent in the West. Attention also given to African sources, as well as European, Caribbean, Latin-American, and North American variations on this tradition."
AAS 016,"Verbal & Performance Arts in Africa",4,4,,,,,,,,4,4,,"Lecture/Discussion-4 hour(s). African verbal arts; oral texts from different African cultures. Types of critical response to oral texts, role of oral artists, context and esthetics of oral performance in Africa."
AAS 017,"Women in African Societies",4,,,4,,,,,,,4,4,"Lecture/Discussion-4 hour(s). Gender relations in traditional and contemporary African society. Involvement of African women in politics, religion, the economy, the arts. African responses to feminist theory. Images of women in African literature."
AAS 018,"Introduction to Caribbean Studies",4,4,,4,,,,,,,4,,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to the contemporary culture, peoples, politics, and societies of the Caribbean. Topics include movements of people, goods and ideas across the Atlantic world and creative productions within the Caribbean."
AAS 050,"Black Popular Culture",4,4,,,4,4,,,,4,,4,"Lecture-3 hour(s); Discussion-1 hour(s); Term Paper. Survey of the African American images in popular culture film, television, comedy, sports and music)."
AAS 051,"History of Afro American Dance",4,4,,,,4,,,,4,,,"Lecture-4 hour(s). Evolution of African-American dance, tracing its history and development from West and Central Africa to the United States. Investigates the social and cultural relevance of African American dance and its artistic merits through contributions from its choreographers and performers."
AAS 052,"African Traditional Religion",4,4,,,,,,,,,4,,"Lecture-2 hour(s); Discussion-2 hour(s). Introduction to traditional religions of the sub-Saharan African peoples: emphasis on myths, rituals and symbols in West, East, Central and South African indigenous religions. Examines themes: sacred kingship, divination system, women, prophecy, conversion and adaptation to Islam and Christianity."
AAS 080,"Introduction to Black Politics",4,,,,,,,,,,,,"Lecture-4 hour(s). Introduction to the analysis of Afro-American politics, using conceptual frameworks from political science and other social sciences."
AAS 099,"Special Study for Undergraduates",1-5,,,,,,,,,,,,"Variable. Prerequisite(s): Consent of Instructor. (P/NP grading only.)"
AAS 100,"Survey of Ethnicity in the US",4,4,,,4,4,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Prerequisite(s): Upper division standing or consent of instructor. Limited enrollment. Sociological and historical analysis of the experience, culture, and relations of and between groups considered racial and/or ethnic minorities in the United States."
