CRN,M Start Time,M End Time,T Start Time,T End Time,W Start Time,W End Time,R Start Time,R End Time,F Start Time,F End Time,Course Code
20001,,,540,620,,,540,620,,,AAS 010
20001,,,,,,,1030,1080,,,AAS 010
20002,,,540,620,,,540,620,,,AAS 010
20002,,,,,,,1090,1140,,,AAS 010
52915,,,,,970,1020,,,,,AAS 015
52915,,,1090,1170,,,1090,1170,,,AAS 015
52916,,,,,1030,1080,,,,,AAS 015
52916,,,1090,1170,,,1090,1170,,,AAS 015
52917,,,1090,1170,,,1090,1170,,,AAS 015
52917,,,,,1090,1140,,,,,AAS 015
52918,,,1090,1170,,,1090,1170,,,AAS 015
52918,,,,,1150,1200,,,,,AAS 015
20003,,,730,840,,,730,840,,,AAS 016
52913,,,630,710,,,630,710,,,AAS 053
52913,,,1030,1080,,,,,,,AAS 053
52914,,,1090,1140,,,,,,,AAS 053
52914,,,630,710,,,630,710,,,AAS 053
@,,,,,,,,,,,AAS 099
20018,850,960,,,850,960,,,,,AAS 107A
53548,600,710,,,600,710,,,,,AAS 107C
52919,730,840,,,730,840,,,,,AAS 110
52920,970,1080,,,970,1080,,,,,AAS 111
52922,,,970,1080,,,970,1080,,,AAS 123
@,,,,,,,,,,,AAS 192
@,,,,,,,,,,,AAS 197T
@,,,,,,,,,,,AAS 198
@,,,,,,,,,,,AAS 199
@,,,,,,,,,,,AAS 298A
@,,,,,,,,,,,AAS 298B
@,,,,,,,,,,,AAS 299
20617,970,1020,,,,,,,,,AGC 290
20618,,,,,970,1080,,,,,AGC 290
@,,,,,,,,,,,AGC 298
@,,,,,,,,,,,AGC 299
22402,1090,1200,,,1090,1200,,,,,ARE 018
@,,,,,,,,,,,ARE 098
@,,,,,,,,,,,ARE 099
22485,,,1090,1140,,,,,,,ARE 100A
22485,,,540,620,,,540,620,,,ARE 100A
22486,,,1150,1200,,,,,,,ARE 100A
22486,,,540,620,,,540,620,,,ARE 100A
22487,,,540,620,,,540,620,,,ARE 100A
22487,,,,,1090,1140,,,,,ARE 100A
22488,,,540,620,,,540,620,,,ARE 100A
22488,,,,,1150,1200,,,,,ARE 100A
22489,,,540,620,,,540,620,,,ARE 100A
22489,,,,,1030,1080,,,,,ARE 100A
22490,,,,,1090,1140,,,,,ARE 100A
22490,,,540,620,,,540,620,,,ARE 100A
22491,,,540,620,,,540,620,,,ARE 100A
22491,,,1030,1080,,,,,,,ARE 100A
22492,,,540,620,,,540,620,,,ARE 100A
22492,,,1090,1140,,,,,,,ARE 100A
22493,,,540,620,,,540,620,,,ARE 100A
22493,,,1150,1200,,,,,,,ARE 100A
22494,,,540,620,,,540,620,,,ARE 100A
22494,,,1090,1140,,,,,,,ARE 100A
22495,,,540,620,,,540,620,,,ARE 100A
22495,,,,,1030,1080,,,,,ARE 100A
22496,,,,,1090,1140,,,,,ARE 100A
22496,,,540,620,,,540,620,,,ARE 100A
22497,,,1090,1140,,,,,,,ARE 100B
22497,,,910,990,,,910,990,,,ARE 100B
22498,,,910,990,,,910,990,,,ARE 100B
22498,,,1150,1200,,,,,,,ARE 100B
22499,,,910,990,,,910,990,,,ARE 100B
22499,,,,,1030,1080,,,,,ARE 100B
22500,,,910,990,,,910,990,,,ARE 100B
22500,,,,,1090,1140,,,,,ARE 100B
22501,,,910,990,,,910,990,,,ARE 100B
22501,,,,,1030,1080,,,,,ARE 100B
22502,,,910,990,,,910,990,,,ARE 100B
22502,,,,,1090,1140,,,,,ARE 100B
22503,660,710,,,660,710,,,660,710,ARE 106
22503,1030,1080,,,,,,,,,ARE 106
22504,660,710,,,660,710,,,660,710,ARE 106
22504,1090,1140,,,,,,,,,ARE 106
22505,660,710,,,660,710,,,660,710,ARE 106
22505,,,1090,1140,,,,,,,ARE 106
22506,660,710,,,660,710,,,660,710,ARE 106
22506,,,1150,1200,,,,,,,ARE 106
22507,660,710,,,660,710,,,660,710,ARE 106
22507,1090,1140,,,,,,,,,ARE 106
22508,1150,1200,,,,,,,,,ARE 106
22508,660,710,,,660,710,,,660,710,ARE 106
22509,970,1080,,,970,1080,,,,,ARE 112
22510,,,820,900,,,820,900,,,ARE 115A
22510,,,1090,1140,,,,,,,ARE 115A
22511,,,820,900,,,820,900,,,ARE 115A
22511,,,1150,1200,,,,,,,ARE 115A
22512,,,1090,1140,,,,,,,ARE 115A
22512,,,820,900,,,820,900,,,ARE 115A
22513,,,1150,1200,,,,,,,ARE 115A
22513,,,820,900,,,820,900,,,ARE 115A
22514,,,,,1090,1140,,,,,ARE 115A
22514,,,820,900,,,820,900,,,ARE 115A
22515,,,,,1150,1200,,,,,ARE 115A
22515,,,820,900,,,820,900,,,ARE 115A
22516,,,,,1090,1140,,,,,ARE 115A
22516,,,820,900,,,820,900,,,ARE 115A
22517,,,820,900,,,820,900,,,ARE 115A
22517,,,,,1150,1200,,,,,ARE 115A
22518,,,820,900,,,820,900,,,ARE 115A
22518,,,,,1030,1080,,,,,ARE 115A
22519,,,820,900,,,820,900,,,ARE 115A
22519,,,,,1090,1140,,,,,ARE 115A
53396,,,730,810,,,,,,,ARE 115BY
53396,,,,,,,,,480,530,ARE 115BY
53397,,,820,900,,,,,,,ARE 115BY
53397,,,,,,,,,480,530,ARE 115BY
53398,,,,,,,730,810,,,ARE 115BY
53398,,,,,,,,,480,530,ARE 115BY
53399,,,,,,,,,480,530,ARE 115BY
53399,,,,,,,820,900,,,ARE 115BY
22526,970,1080,,,970,1080,,,,,ARE 118
22527,1090,1200,,,1090,1200,,,,,ARE 119
22530,600,680,,,600,680,,,,,ARE 138
22530,690,710,,,690,710,,,,,ARE 138
22531,,,,,1030,1080,,,,,ARE 139
22531,,,630,710,,,630,710,,,ARE 139
22532,,,,,1090,1140,,,,,ARE 139
22532,,,630,710,,,630,710,,,ARE 139
22533,,,630,710,,,630,710,,,ARE 139
22533,,,1030,1080,,,,,,,ARE 139
22534,,,1090,1140,,,,,,,ARE 139
22534,,,630,710,,,630,710,,,ARE 139
22535,480,530,,,480,530,,,480,530,ARE 142
22536,,,730,840,,,730,840,,,ARE 143
22537,,,1030,1080,,,,,,,ARE 146
22537,,,820,900,,,820,900,,,ARE 146
22538,,,1090,1140,,,,,,,ARE 146
22538,,,820,900,,,820,900,,,ARE 146
22539,,,820,900,,,820,900,,,ARE 146
22539,,,,,1030,1080,,,,,ARE 146
22540,,,,,1090,1140,,,,,ARE 146
22540,,,820,900,,,820,900,,,ARE 146
22541,,,630,710,,,630,710,,,ARE 155
22541,,,1030,1080,,,,,,,ARE 155
22542,,,630,710,,,630,710,,,ARE 155
22542,,,1090,1140,,,,,,,ARE 155
22543,,,630,710,,,630,710,,,ARE 155
22543,,,1090,1140,,,,,,,ARE 155
22544,,,630,710,,,630,710,,,ARE 155
